number,title,state,created_at,closed_at,author,url,ai_summary
26975,[BUG] Skill autocomplete fails for second `/` when message starts with a skill invocation,open,"Feb 19, 2026",,stevencmillerjr,https://github.com/anthropics/claude-code/issues/26975,Skill autocomplete fails for second `/` when message starts with a skill invocation
26974,[Bug] Claude 4.6 Opus ignores explicit user rules and instructions,open,"Feb 19, 2026",,ewaltd,https://github.com/anthropics/claude-code/issues/26974,[Bug] Claude 4.6 Opus ignores explicit user rules and instructions
26971,[BUG] Claude Desktop blocks opening https://accounts.google.com URLs,open,"Feb 19, 2026",,liorglam-oasis,https://github.com/anthropics/claude-code/issues/26971,Claude Desktop blocks opening https://accounts.google.com URLs
26969,Keep files open in IDE after edits + navigate to line references,open,"Feb 19, 2026",,Manasi25,https://github.com/anthropics/claude-code/issues/26969,Keep files open in IDE after edits + navigate to line references
26968,[FEATURE] Truncate or filter large MCP tool results in verbose output,open,"Feb 19, 2026",,brunoberger-br,https://github.com/anthropics/claude-code/issues/26968,Truncate or filter large MCP tool results in verbose output. Preflight Checklist - [x] I have searched existing requests and this feature hasn't been requested yet - [x] This is a single feature request (not multiple features) Problem Statement With `--verbose`
26967,VS Code: Support tabbed conversations within a single panel,open,"Feb 19, 2026",,underwaterkid,https://github.com/anthropics/claude-code/issues/26967,"VS Code: Support tabbed conversations within a single panel. When working with multiple Claude Code conversations in VS Code, each conversation opens as a separate editor tab"
26966,[MODEL] Model persists with constraint-violating approach despite repeated explicit rejection,open,"Feb 19, 2026",,markshapiro-cv,https://github.com/anthropics/claude-code/issues/26966,Model persists with constraint-violating approach despite repeated explicit rejection
26965,[Bug] Claude models exhibit increased hallucination and context loss after Sonnet 4.6 release,open,"Feb 19, 2026",,playcations,https://github.com/anthropics/claude-code/issues/26965,[Bug] Claude models exhibit increased hallucination and context loss after Sonnet 4.6 release
26964,custom-title events for one session are written into a different session's JSONL file,open,"Feb 19, 2026",,MitsunChieh,https://github.com/anthropics/claude-code/issues/26964,custom-title events for one session are written into a different session's JSONL file
26963,GitHub MCP not starting at Claude Code launch despite valid configuration,open,"Feb 19, 2026",,robbinspaul,https://github.com/anthropics/claude-code/issues/26963,GitHub MCP not starting at Claude Code launch despite valid configuration
26962,PostToolUse hooks for Edit/Write never fire (v2.1.47),open,"Feb 19, 2026",,mjientara,https://github.com/anthropics/claude-code/issues/26962,PostToolUse hooks for Edit/Write never fire (v2.1.47). PostToolUse hooks configured for `Edit` and `Write` tools never execute
26961,[FEATURE] Per-message model override without switching session model,open,"Feb 19, 2026",,jasonxris,https://github.com/anthropics/claude-code/issues/26961,Per-message model override without switching session model. Preflight Checklist - [x] I have searched existing requests and this feature hasn't been requested yet - [x] This is a single feature request (not multiple features) Problem Statement hen working in a
26960,"[BUG] Folder no longer exists. Please start a new session."" — old chats broken, new chats hang on latest macOS",open,"Feb 19, 2026",,Scuur-gpp,https://github.com/anthropics/claude-code/issues/26960,"Folder no longer exists. Please start a new session."" — old chats broken, new chats hang on latest macOS"
26958,[Bug] Crash when selecting past session in code tab: Error 1YCZHOG,open,"Feb 19, 2026",,svef73,https://github.com/anthropics/claude-code/issues/26958,[Bug] Crash when selecting past session in code tab: Error 1YCZHOG
26956,"[Bug] Incorrect ""Reading file"" message displayed when executing Python scripts",open,"Feb 19, 2026",,zfogg,https://github.com/anthropics/claude-code/issues/26956,"[Bug] Incorrect ""Reading file"" message displayed when executing Python scripts"
26954,Bash output truncated: ctrl+o/ctrl+e don't fully expand output,open,"Feb 19, 2026",,sunnyszy,https://github.com/anthropics/claude-code/issues/26954,Bash output truncated: ctrl+o/ctrl+e don't fully expand output
26953,Cowork connectin API bug,open,"Feb 19, 2026",,wickham-cyber,https://github.com/anthropics/claude-code/issues/26953,Cowork connectin API bug. Preflight Checklist - [x] I have searched existing issues and this hasn't been reported yet - [x] This is a single bug report (please file separate reports for different bugs) - [x] I am using the lat
26952,Claude Desktop: custom URL schemes (non-http) are not opened by the OS,open,"Feb 19, 2026",,kylehart,https://github.com/anthropics/claude-code/issues/26952,Claude Desktop: custom URL schemes (non-http) are not opened by the OS
