number,title,state,created_at,closed_at,author,url,ai_summary
367,Claude in iTerm2 will unpredictably scroll through the entire shell stdout history while executing commands,open,"Mar 06, 2025",,andrewreece,https://github.com/anthropics/claude-code/issues/367,Claude intermittently scrolls through entire iTerm2 shell history unpredictably during command execution without affecting functionality.
401,[BUG] Claude loads my projects .env into its bash environment (!),open,"Mar 08, 2025",,rasmuscnielsen,https://github.com/anthropics/claude-code/issues/401,"Claude CLI loads project .env files into bash environment, causing test database to be dropped instead of using test environment database."
564,Feature: when login choose anthropic workspace,open,"Mar 19, 2025",,fredysierra,https://github.com/anthropics/claude-code/issues/564,"User wants Claude Code `/login` to let them choose which Anthropic workspace to use instead of automatically selecting ""Claude Code"" workspace."
619,Claude CLI Hangs or Becomes Unresponsive in WSL (Intermittent Issue),open,"Mar 26, 2025",,vanman2024,https://github.com/anthropics/claude-code/issues/619,Claude CLI intermittently hangs or becomes unresponsive in WSL environment; user requests session memory feature.
674,Cursor Style Interference: Claude Overrides Terminal Cursor Behavior,open,"Apr 01, 2025",,felixbuenemann,https://github.com/anthropics/claude-code/issues/674,"Claude overrides terminal cursor style to solid block, causing user to misidentify active tabs and type in wrong windows."
764,[BUG] Symlink Resolution Failure: Claude Code Unable to Traverse Symlinked Directory,open,"Apr 11, 2025",,rieger-jared,https://github.com/anthropics/claude-code/issues/764,"Claude Code fails to detect files in symlinked directories, breaking access to ~/.claude when linked via stow."
769,[BUG]  In-progress Call causes Screen Flickering,open,"Apr 12, 2025",,Cheffromspace,https://github.com/anthropics/claude-code/issues/769,"In-progress call status indicator causes screen flickering, creating accessibility issues for light-sensitive users."
819,"[BUG] Claude Repeatedly asks for permission to run commands, even when I've already granted it",open,"Apr 18, 2025",,f1sherman,https://github.com/anthropics/claude-code/issues/819,"Claude repeatedly asks permission to run the same script despite selecting ""don't ask again"" option."
826,[BUG] Console scrolling top of history when claude add text to the console,open,"Apr 19, 2025",,ocontant,https://github.com/anthropics/claude-code/issues/826,Console scrolls to top repeatedly when typing or bot outputs text once history reaches certain volume.
859,Simplify copying of markdown output,open,"Apr 24, 2025",,mtaran,https://github.com/anthropics/claude-code/issues/859,User requests a way to copy raw markdown output from Claude's rendered terminal display without writing to file.
895,Error: InputValidationError: Write failed due to the following issue: The required parameter `content` is missing,open,"Apr 28, 2025",,BrianObilo,https://github.com/anthropics/claude-code/issues/895,"Claude occasionally fails to include required `content` parameter when using Write tool, causing validation errors."
947,Terminal Jumps Unexpectedly To the Beginning Of The Conversation During Input with Long Buffer,open,"May 03, 2025",,marwan-tanager,https://github.com/anthropics/claude-code/issues/947,Terminal unexpectedly scrolls to buffer beginning when typing with long conversation history.
996,[BUG]   ✗ Auto-update failed · Try claude doctor or npm i -g @anthropic-ai/claude-code,open,"May 07, 2025",,walt93,https://github.com/anthropics/claude-code/issues/996,Auto-update fails; suggested npm install command also fails to resolve the issue.
1043,Ctrl-D unexpectedly terminates session instead of deleting characters in macOS,open,"May 10, 2025",,FMs-sugiyama,https://github.com/anthropics/claude-code/issues/1043,"Ctrl-D terminates the session instead of deleting forward characters on macOS, breaking standard terminal behavior."
1109,Usage Metrics Visibility for Max Subscribers,open,"May 15, 2025",,XiaTiaoQAQ,https://github.com/anthropics/claude-code/issues/1109,"Max subscribers want usage metrics visibility despite unlimited access, not just cost monitoring."
1234,Support for other IDEs (Neovim/Emacs),open,"May 22, 2025",,garrett-hopper,https://github.com/anthropics/claude-code/issues/1234,User requests documentation for MCP server tools to enable third-party IDE integrations for Neovim and Emacs beyond VSCode.
1262,[BUG] Shift+Enter Does Not Insert New Line in WSL on Windows 10,open,"May 23, 2025",,sap2me,https://github.com/anthropics/claude-code/issues/1262,"Shift+Enter fails to insert newline in Claude CLI on WSL/Windows 10, submitting input instead."
1268,Rendering: Incorrect Font Spacing in Claude Code Beta Plugin for IntelliJ,open,"May 23, 2025",,agilbertupgrade,https://github.com/anthropics/claude-code/issues/1268,"Claude Code Beta Plugin on IntelliJ displays incorrect font spacing, appearing double-spaced or with wrong kerning."
1282,Add Shift-Enter support for Ghostty via `/terminal-setup` (with workaround),open,"May 24, 2025",,adamavenir,https://github.com/anthropics/claude-code/issues/1282,"User requests Shift-Enter support for Ghostty terminal, provides existing workaround configuration."
1302,[FEAT] Add support for custom terminal themes beyond built-in options,open,"May 25, 2025",,jd-smeltser,https://github.com/anthropics/claude-code/issues/1302,Support custom terminal themes beyond the six built-in options for better user terminal configuration flexibility.
1341,[BUG] Background color bleed in terminal from chalk usage,open,"May 26, 2025",,tajquitgenius,https://github.com/anthropics/claude-code/issues/1341,"Claude Code's chalk background colors bleed into subsequent terminal output, causing persistent colored backgrounds that interfere with the UI."
1421,Recurring crashes: JavaScript Heap Out of Memory while 'thinking',open,"May 29, 2025",,rayozzie,https://github.com/anthropics/claude-code/issues/1421,Claude crashes repeatedly with JavaScript heap out of memory errors during extended thinking operations across multiple platforms.
1455,Claude Code does not respect the XDG Base Directory specification,open,"May 31, 2025",,jennifgcrl,https://github.com/anthropics/claude-code/issues/1455,"Claude Code ignores XDG Base Directory specification, storing files in ~/.claude instead of $XDG_CONFIG_HOME and $XDG_CACHE_HOME."
1464,Claude Code in Cursor: UI button missing and cmd + esc shortcut no longer working,open,"May 31, 2025",,heather-jones,https://github.com/anthropics/claude-code/issues/1464,Claude Code UI button disappeared in Cursor and cmd+esc shortcut stopped working after reopening the application.
1467,"""Vim Mode: Cursor Always Visible Across Multiple Terminal Instances""",open,"May 31, 2025",,joeldrotleff,https://github.com/anthropics/claude-code/issues/1467,Vim mode cursor visible in all terminal instances instead of only the active one.
